message,label
"Congratulations you won a free prize","spam"
"Claim your reward now","spam"
"Free cash available click this link","spam"
"Win a brand new phone today","spam"
"Urgent offer claim your bonus","spam"
"You have been selected for a free gift","spam"
"Get free money by clicking this offer","spam"
"Congratulations your number won a cash prize","spam"
"Exclusive deal claim your free reward","spam"
"You are the lucky winner of a free voucher","spam"
"Limited time offer win free cash now","spam"
"Claim your bonus before it expires","spam"
"Free entry to our prize competition","spam"
"You won a brand new smartphone","spam"
"Click now to receive your reward","spam"
"Meeting is scheduled at four today","ham"
"Please send the project report","ham"
"Can you call me after class","ham"
"The assignment deadline is tomorrow","ham"
"Let's meet in the library","ham"
"Your lab record is attached","ham"
"Please review the document","ham"
"Dinner at eight","ham"
"The lecture starts at ten","ham"
"Can you share today's notes","ham"
"Please bring your notebook tomorrow","ham"
"I will see you after the lecture","ham"
"Submit the assignment before Friday","ham"
"Are you coming to the lab today","ham"
"Please send me the notes from class","ham"
"The professor changed the lecture timing","ham"
"Can we discuss the project tomorrow","ham"
"Your presentation is scheduled for Monday","ham"
"Meet me near the department office","ham"
"Don't forget to bring the lab record","ham"
"Can you share the assignment question","ham"
